Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2011-01-03,9.928852081298828,9.949639568578622,9.786353212420385,9.810454308837388,445138400
2011-01-04,9.980668067932129,10.017120977933631,9.88606973765193,10.01531333578296,309080800
2011-01-05,10.062313079833984,10.072556388059322,9.92674310061133,9.92824987170267,255519600
2011-01-06,10.054178237915039,10.099970234673103,10.029172921249586,10.084003129658274,300428800
2011-01-07,10.126182556152344,10.133111450823424,9.999047435028572,10.062012448033434,311931200
2011-01-10,10.316883087158203,10.340381634346501,10.157814575207183,10.207824406975773,448560000
2011-01-11,10.29248332977295,10.39250301477454,10.227108121040912,10.39009362881315,444108000
2011-01-12,10.376235961914062,10.376537638003006,10.30333010261656,10.340988932151513,302590400
2011-01-13,10.414190292358398,10.44311256744203,10.359059216653115,10.398524864490588,296780400
2011-01-14,10.49854564666748,10.49854564666748,10.376834286436054,10.420517767419613,308840000
2011-01-18,10.262656211853027,10.386476922244816,9.821300171270845,9.927346130524958,1880998000
2011-01-19,10.208125114440918,10.502161015779238,10.149077076098598,10.494628770779249,1135612800
2011-01-20,10.022549629211426,10.19186151835533,9.94542512900129,10.135524512517051,764789200
2011-01-21,9.842991828918457,10.088825605613986,9.840279962625148,10.05538461779241,754401200
2011-01-24,10.166251182556152,10.166251182556152,9.842991268410001,9.84751077715169,574683200
2011-01-25,10.285249710083008,10.286455609504767,10.079484975994049,10.132508349434731,546868000
2011-01-26,10.359062194824219,10.411783900565544,10.288264866428142,10.332249230158107,506875600
2011-01-27,10.3397798538208,10.384367566060355,10.328332255351357,10.356952055994288,285026000
2011-01-28,10.12557601928711,10.37562834998551,10.04815149820508,10.3686994574938,592057200
2011-01-31,10.222587585449219,10.24427929714892,10.071352173445298,10.116541630547632,377246800
2011-02-01,10.394608497619629,10.413286662096132,10.272595467729593,10.282236225895087,426633200
2011-02-02,10.37321949005127,10.401236739527384,10.350021815663776,10.377136450676623,258955200
2011-02-03,10.346708297729492,10.3708101976041,10.199389054857743,10.357554152673066,393797600
2011-02-04,10.43889331817627,10.444918791333835,10.348814505643276,10.35273066096117,321840400
2011-02-07,10.600980758666992,10.642253259765837,10.47324307569919,10.480774518769659,485021600
2011-02-08,10.700998306274414,10.710639066336945,10.609112627570951,10.655206304915984,381040800
2011-02-09,10.790172576904297,10.815479569368893,10.691056338726868,10.700696293291788,482745200
2011-02-10,10.681114196777344,10.845606434433261,10.48408520095779,10.766976002576905,928550000
2011-02-11,10.75070858001709,10.779328381098232,10.650988974591659,10.687442698062283,367572800
2011-02-14,10.820904731750488,10.829942141414636,10.74649211322423,10.748902303659852,310416400
2011-02-15,10.842594146728516,10.844703465303668,10.771796823613936,10.821204111795346,284174800
2011-02-16,10.939905166625977,10.99322861539588,10.86067136787748,10.869708776957816,481157600
2011-02-17,10.794391632080078,10.853741354904974,10.740765708345647,10.76275909461891,530583200
2011-02-18,10.561209678649902,10.83054193559806,10.5298772132797,10.80674171509951,816057200
2011-02-22,10.201196670532227,10.40575712059915,10.174384513696138,10.307845163789157,872555600
2011-02-23,10.322009086608887,10.382863991769756,10.201200282206566,10.206021468345014,671854400
2011-02-24,10.329835891723633,10.398223813463773,10.193965076027819,10.364181092792352,499900800
2011-02-25,10.488903999328613,10.497037985902104,10.38767846312491,10.401536246995441,380018800
2011-02-28,10.641046524047852,10.6964792838187,10.57808151846772,10.581696803383549,403074000
2011-03-01,10.523551940917969,10.716663981245993,10.474445528620048,10.709132540075437,456136800
2011-03-02,10.608210563659668,10.67539341731832,10.49613911852555,10.54313702892875,602590800
2011-03-03,10.832351684570312,10.839280578909399,10.722690447854564,10.760951813657577,500788400
2011-03-04,10.845605850219727,10.854342385628886,10.777820471756447,10.847714363968107,453266800
2011-03-07,10.705820083618164,10.895919407046973,10.58380702296272,10.887784613059093,546123200
2011-03-08,10.71786880493164,10.767276891949923,10.612123737372297,10.692260940236752,356316800
2011-03-09,10.618753433227539,10.687743921243984,10.562417248275482,10.685634602576798,453306000
2011-03-10,10.444013595581055,10.537406811888475,10.390689369805708,10.517823623715445,507539200
2011-03-11,10.604291915893555,10.614234352386003,10.393707587407846,10.403648414961626,471080400
2011-03-14,10.651592254638672,10.739562591468312,10.583807663764564,10.640143850737303,435957200
2011-03-15,10.406662940979004,10.479267914128416,10.24608762895805,10.306340778793452,721081200
2011-03-16,9.942107200622559,10.333453364546168,9.829132357243388,10.303326793276344,1162011200
2011-03-17,10.081596374511719,10.231325833141396,9.961691815406207,10.147573325600767,659422400
2011-03-18,9.961991310119629,10.188845221330046,9.941806370524958,10.156609331389507,753214000
2011-03-21,10.2219820022583,10.235237239891216,10.100269847274268,10.122263228450834,409402000
2011-03-22,10.279226303100586,10.322007182520137,10.217165509501209,10.320199539727762,325922800
2011-03-23,10.218667030334473,10.249697008956113,10.121055978638026,10.22137809089537,372996400
2011-03-24,10.392801284790039,10.423832074182531,10.208727475543835,10.298806302200967,404712000
2011-03-25,10.590737342834473,10.606402776442716,10.454563994490567,10.486197342220414,448910000
2011-03-28,10.557592391967773,10.674484967495385,10.557592391967773,10.639236350187412,309355200
2011-03-29,10.573262214660645,10.573262214660645,10.425642087920092,10.473844282764999,352900800
2011-03-30,10.503066062927246,10.570852256089841,10.46721569251,10.563620881444823,329406000
2011-03-31,10.49945068359375,10.538313788257666,10.42564063054123,10.434678038017982,274019200
2011-04-01,10.380449295043945,10.592240298104487,10.342489610348446,10.577779963844291,418661600
2011-04-04,10.278923034667969,10.381655364905662,10.194869675595871,10.372918829014436,460084800
2011-04-05,10.209632873535156,10.310858444669353,10.122566767051659,10.152392467405317,482731200
2011-04-06,10.184025764465332,10.360568180690883,10.156911928198332,10.2798292194618,402539200
2011-04-07,10.18522834777832,10.256024848784763,10.123467644000462,10.185830090684926,373447200
2011-04-08,10.094245910644531,10.247590606888183,10.06080573598209,10.240661713884727,377535200
2011-04-11,9.965907096862793,10.112622975453924,9.942408550926666,10.064119112731335,398946800
2011-04-12,10.01411247253418,10.054180680549244,9.947833042129753,9.956569579946597,425639200
2011-04-13,10.126486778259277,10.126787649878752,10.017728928045134,10.093045782671139,346220000
2011-04-14,10.01470947265625,10.122563026735655,10.003864425646192,10.086410992941056,301800800
2011-04-15,9.86528491973877,10.051468089199782,9.845401655180108,10.041224780912623,453605600
2011-04-18,9.997536659240723,10.008985057317123,9.64535622849896,9.824308744506187,609898800
2011-04-19,10.178604125976562,10.182218607110986,9.993324358891648,10.035201014901535,419378400
2011-04-20,10.315678596496582,10.41630161787595,10.288263891327363,10.348817905280574,700666400
2011-04-21,10.5654296875,10.698891161048024,10.499753610110083,10.69497419953684,753810400
2011-04-25,10.635022163391113,10.657316422707776,10.553378177192236,10.554584076759792,266546000
2011-04-26,10.556992530822754,10.694671003038069,10.524756644481938,10.653397709416359,338800000
2011-04-27,10.54886245727539,10.615141901958594,10.456976745684393,10.611827487266162,356213200
2011-04-28,10.446429252624512,10.53680816404306,10.40937298184787,10.429557921822617,360959200
2011-04-29,10.548255920410156,10.663339264670645,10.444016821234646,10.447331234420854,1006345200
2011-05-02,10.432269096374512,10.558499989347942,10.408770546972594,10.536507406549255,442713600
2011-05-03,10.490110397338867,10.541024449330742,10.412383386493335,10.483784051451524,313348000
2011-05-04,10.531380653381348,10.599466880349105,10.450339258940454,10.491914212679378,389250400
2011-05-05,10.446429252624512,10.57296101576141,10.425340089122143,10.496137412563915,335969200
2011-05-06,10.443717956542969,10.544340985909852,10.430161038643298,10.535001900940872,280134400
2011-05-09,10.472033500671387,10.520236485534689,10.43979761878989,10.47986581196879,204747200
2011-05-10,10.527771949768066,10.535002520931913,10.443718571161899,10.510900617052423,282091600
2011-05-11,10.460887908935547,10.544339527964278,10.400936446026423,10.51481550600106,336000000
2011-05-12,10.441007614135742,10.457578076730863,10.311463891847541,10.427451498726946,322000000
2011-05-13,10.258134841918945,10.431362799261471,10.253616138538153,10.413588857211401,326116000
2011-05-16,10.041224479675293,10.279828474037222,10.020135316187346,10.21897278262495,449775200
2011-05-17,10.12678337097168,10.12678337097168,9.963797904796623,10.002059265886217,452334400
2011-05-18,10.23915958404541,10.274709092997359,10.122569422620021,10.136728890985335,334776400
2011-05-19,10.259040832519531,10.315678690383857,10.203004717705069,10.305737058552038,261170000
2011-05-20,10.099065780639648,10.271691985361791,10.093040306823479,10.229815344573982,337968400
2011-05-23,10.074363708496094,10.121964158375105,9.924333397516946,9.940903052175692,383600000
2011-05-24,10.007782936096191,10.119553476192465,9.98217507186748,10.107502527268549,321927200
2011-05-25,10.146060943603516,10.199686845929913,10.027663221207963,10.04513628749253,294224000
2011-05-26,10.092440605163574,10.149380142077666,10.075268402180088,10.121663759177354,222560800
2011-05-27,10.165046691894531,10.17167471569014,10.071654224546588,10.086416238947535,203599200
2011-05-31,10.478962898254395,10.478962898254395,10.273197387203579,10.276210928651226,417754400
2011-06-01,10.40907096862793,10.608509367330328,10.383163034674443,10.510297341221229,554682800
2011-06-02,10.426843643188477,10.483482293306405,10.37261598709659,10.43889459097296,338783200
2011-06-03,10.346708297729492,10.403647829479322,10.303627358407562,10.338875984739532,313250000
2011-06-06,10.184025764465332,10.455467412094777,10.177096869622948,10.414796657694273,461941200
2011-06-07,10.003263473510742,10.189446612885922,9.999045641368188,10.187940646498195,529785200
2011-06-08,10.00929069519043,10.086415173178427,9.961390175811694,9.995432905915148,333723600
2011-06-09,9.98669719696045,10.052373276867755,9.964402935608998,10.039719777181796,275088800
2011-06-10,9.818288803100586,9.991818491463507,9.806538722536539,9.958377501530133,433955200
